year,sector,sub_sector,ng_consumption_tj
2016,Transport-related,Transport-related,468.6
2016,Households,Households,2547.8
2016,Others,Others,108.9
2017,Industrial-related,Manufacturing,53199.1
2017,Industrial-related,Construction,264.4
2017,Industrial-related,Utilities,59.2
2017,Industrial-related,Other Industrial-related,2.3
2017,Commerce and Service-related,Wholesale and Retail Trade,218.5
2017,Commerce and Service-related,Accommodation and Food Services,2472.9
2017,Commerce and Service-related,Information and Communications,1.9
2017,Commerce and Service-related,Financial and Insurance Activities,193.5
2017,Commerce and Service-related,Real Estate Activities,84.5
2017,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",117.6
2017,Commerce and Service-related,Other Commerce and Service-related,618.1
2017,Transport-related,Transport-related,288.4
2017,Households,Households,2604.3
2017,Others,Others,102.0
2018,Industrial-related,Manufacturing,55000.4
2018,Industrial-related,Construction,264.7
2018,Industrial-related,Utilities,61.5
2018,Industrial-related,Other Industrial-related,0.2
2018,Commerce and Service-related,Wholesale and Retail Trade,171.1
2018,Commerce and Service-related,Accommodation and Food Services,2349.3
2018,Commerce and Service-related,Information and Communications,2.7
2018,Commerce and Service-related,Financial and Insurance Activities,169.6
2018,Commerce and Service-related,Real Estate Activities,103.2
2018,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",176.3
2018,Commerce and Service-related,Other Commerce and Service-related,697.3
2018,Transport-related,Transport-related,118.5
2018,Households,Households,2667.6
2018,Others,Others,161.2
2019,Industrial-related,Manufacturing,55173.0
2019,Industrial-related,Construction,234.1
2019,Industrial-related,Utilities,69.7
2019,Industrial-related,Other Industrial-related,0.1
2019,Commerce and Service-related,Wholesale and Retail Trade,208.7
2019,Commerce and Service-related,Accommodation and Food Services,2367.5
2019,Commerce and Service-related,Information and Communications,2.6
2019,Commerce and Service-related,Financial and Insurance Activities,153.1
2019,Commerce and Service-related,Real Estate Activities,76.3
2019,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",150.3
2019,Commerce and Service-related,Other Commerce and Service-related,715.8
2019,Transport-related,Transport-related,114.2
2019,Households,Households,2649.3
2019,Others,Others,149.3
2020,Industrial-related,Manufacturing,61665.3
2020,Industrial-related,Construction,168.3
2020,Industrial-related,Utilities,111.5
2020,Industrial-related,Other Industrial-related,0.0
2020,Commerce and Service-related,Wholesale and Retail Trade,204.7
2020,Commerce and Service-related,Accommodation and Food Services,1873.7
2020,Commerce and Service-related,Information and Communications,1.8
2020,Commerce and Service-related,Financial and Insurance Activities,422.3
2020,Commerce and Service-related,Real Estate Activities,62.1
2020,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",137.5
2020,Commerce and Service-related,Other Commerce and Service-related,544.0
2020,Transport-related,Transport-related,82.3
2020,Households,Households,3191.0
2020,Others,Others,127.0
2021,Industrial-related,Manufacturing,"64,558.10"
2021,Industrial-related,Construction,361
2021,Industrial-related,Utilities,193.3
2021,Industrial-related,Other Industrial-related,0
2021,Commerce and Service-related,Wholesale and Retail Trade,426.6
2021,Commerce and Service-related,Accommodation and Food Services,"1,858.70"
2021,Commerce and Service-related,Information and Communications,2.7
2021,Commerce and Service-related,Financial and Insurance Activities,606.9
2021,Commerce and Service-related,Real Estate Activities,61.7
2021,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",302.7
2021,Commerce and Service-related,Other Commerce and Service-related,933.2
2021,Transport-related,Transport-related,130.3
2021,Households,Households,"3,036.30"
2021,Others,Others,128.6
